"Identifiant__BAN";"Conso_chauffage_dépensier_é_finale";"Emission_GES_ECS";"Type_énergie_n°1";"Date_établissement_DPE";"Nom__commune_(BAN)";"Emission_GES_chauffage";"Coût_total_5_usages";"Conso_ECS_é_finale";"Emission_GES_5_usages";"N°DPE";"Code_postal_(BAN)";"Conso_ECS_é_primaire";"Etiquette_GES";"Coordonnée_cartographique_X_(BAN)";"Date_fin_validité_DPE";"Conso_chauffage_é_finale";"Type_bâtiment";"Conso_5_usages_par_m²_é_primaire";"Etiquette_DPE";"Coût_chauffage";"Emission_GES_5_usages_par_m²";"Conso_5_usages_é_finale";"N°_département_(BAN)";"_geopoint";"N°_région_(BAN)";"Surface_habitable_logement";"Version_DPE";"Coordonnée_cartographique_Y_(BAN)";"Code_INSEE_(BAN)";"Coût_ECS";"_score";"Année_construction";"id_fantoir";"numero";"rep";"nom_voie";"code_postal";"code_insee";"nom_commune";"code_insee_ancienne_commune";"nom_ancienne_commune";"x";"y";"lon";"lat";"type_position";"alias";"nom_ld";"libelle_acheminement";"nom_afnor";"source_position";"source_nom_voie";"certification_commune";"cad_parcelles"
"11";"48009_0022_00011";32676.5;1.4;"Bois – Bûches";"2023-04-25";"Peyre en Aubrac";18.7;2500;2300.3;4804.6;"2348E1434616M";"48130";5290.7;"D";723012.27;"2033-04-24";31489.5;"maison";294.6;"E";1870;36.1;34835.5;"48";"44.729979031249684,3.2906359888737446";"76";133;2.2;6403470.25;"48009";433;42.195637;1980;"48009_0022";11;"";"Route d’Auvergne";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";723012.27;6403470.25;3.290636;44.729979;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"ROUTE D AUVERGNE";"commune";"commune";1;"48009000ZM0182"
"12";"48009_0026_00006";33940.3;1105;"Fioul domestique";"2023-08-31";"Peyre en Aubrac";10590.8;3406.5;3410.6;11719.9;"2348E2908095T";"48130";3410.6;"G";722701.84;"2033-08-30";32687.7;"appartement";596;"G";2988.3;189;36465.1;"48";"44.72243599672428,3.2866769447498774";"76";62;2.3;6402631.27;"48009";311.8;39.550976;NA;"48009_0026";6;"";"Rue du Barry Haut";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722701.84;6402631.27;3.286677;44.722436;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DU BARRY HAUT";"commune";"commune";1;"480090000A0948"
"13";"48009_0026_00006";20343.8;813.8;"Fioul domestique";"2023-08-31";"Peyre en Aubrac";6393.4;2131.5;2511.8;7229.5;"2348E2909383H";"48130";2511.8;"F";722701.84;"2033-08-30";19732.7;"appartement";345;"F";1804;108;22582.1;"48";"44.72243599672428,3.2866769447498774";"76";66.6;2.3;6402631.27;"48009";229.6;39.550976;NA;"48009_0026";6;"";"Rue du Barry Haut";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722701.84;6402631.27;3.286677;44.722436;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DU BARRY HAUT";"commune";"commune";1;"480090000A0948"
"14";"48009_0047_00001";88770.4;1.2;"Fioul domestique";"2023-10-04";"Peyre en Aubrac";33.6;6563;3012.9;19816.8;"2348E3405353B";"48130";3012.9;"F";722675.34;"2033-10-03";85518.9;"maison";451.5;"F";6013;98.6;89477.4;"48";"44.72256299282841,3.286342949447148";"76";200.9;2.3;6402645.28;"48009";275;40.651318;1954;"48009_0047";1;"";"Place de la Croix";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722675.34;6402645.28;3.286343;44.722563;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"PLACE DE LA CROIX";"commune";"commune";1;"480090000A0946"
"15";"48009_0047_00001";8303;122.1;"Électricité";"2024-09-01";"Peyre en Aubrac";632.3;2167.3;1878.7;787.1;"2448E3025808F";"48130";4321.1;"C";722675.34;"2034-08-31";8004;"appartement";382;"E";1670.6;12;10383.8;"48";"44.72256299282841,3.286342949447148";"76";62.5;2.4;6402645.28;"48009";392.1;46.4696;2002;"48009_0047";1;"";"Place de la Croix";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722675.34;6402645.28;3.286343;44.722563;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"PLACE DE LA CROIX";"commune";"commune";1;"480090000A0946"
"16";"48009_0067_00008";20641.3;101.3;"Électricité";"2022-08-20";"Peyre en Aubrac";1564.6;3503.5;1557.8;1679.6;"2248E1880294X";"48130";3583;"C";722458.99;"2032-08-19";19804.5;"maison";490;"F";3218;16;21561.9;"48";"44.723567992732704,3.2836159449092213";"76";101.2;2.1;6402756.13;"48009";253.1;43.31374;NA;"48009_0067";8;"";"Rue de l’Escure des Bois";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722463.63;6402765.03;3.283675;44.723648;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DE L ESCURE DES BOIS";"commune";"commune";1;"480090000A1023"
"17";"48009_0075_00019";60633.7;708.2;"Fioul domestique";"2023-09-20";"Peyre en Aubrac";18924.5;5703.6;2185.8;19669.9;"2348E3147447P";"48130";2185.8;"G";722745.51;"2033-09-19";58409;"maison";600;"G";5339.7;190;61160.1;"48";"44.724501991514096,3.287238949737268";"76";103.1;2.3;6402860.91;"48009";199.8;39.550976;NA;"48009_0075";19;"";"Avenue du Gévaudan";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722745.51;6402860.91;3.287239;44.724502;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"AVENUE DU GEVAUDAN";"commune";"commune";1;"480090000A0822"
"18";"48009_0099_00024";8160.2;2174;"Fioul domestique";"2022-11-23";"Peyre en Aubrac";2520.3;1396;6710;4710.7;"2248E2802764N";"48130";6710;"F";722533.2;"2032-11-22";7778.8;"appartement";289.6;"F";711;90.6;14736.8;"48";"44.722562037004636,3.284548000700201";"76";52;2.2;6402644.66;"48009";613;43.31374;1947;"48009_0099";24;"";"Avenue de Peyre";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722532.58;6402641.43;3.28454;44.722533;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"AVENUE DE PEYRE";"commune";"commune";1;"480090000A1701"
"19";"48009_0111_00006";29497.4;686.7;"Fioul domestique";"2022-12-26";"Peyre en Aubrac";9194.5;3092.8;2119.5;9953.1;"2248E3160282F";"48130";2119.5;"F";722614.91;"2032-12-25";28378.2;"maison";316;"F";2594.3;95;31604.4;"48";"44.72319201425244,3.2855830303854416";"76";104.4;2.2;6402714.93;"48009";193.8;43.31374;1973;"48009_0111";6;"";"Rue du Prieuré";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722614.05;6402711.93;3.285572;44.723165;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DU PRIEURE";"commune";"commune";1;"480090000A0914"
"20";"48009_0111_00006";20600.1;686.7;"Fioul domestique";"2023-08-29";"Peyre en Aubrac";6432.3;2303.7;2119.5;7186.4;"2348E2868659Z";"48130";2119.5;"E";722614.91;"2033-08-28";19852.7;"maison";233;"E";1814.9;68;23009.9;"48";"44.72319201425244,3.2855830303854416";"76";104.4;2.3;6402714.93;"48009";193.8;39.550976;1973;"48009_0111";6;"";"Rue du Prieuré";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722614.05;6402711.93;3.285572;44.723165;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE DU PRIEURE";"commune";"commune";1;"480090000A0914"
